#the number of samples
121
#lower bound
 1.0000000e+02	 3.0000000e+01	
#upper bound
 1.0000000e+03	 1.5000000e+02	
1	 1.0000000e+02	 3.0000000e+01	
2	 1.9000000e+02	 3.0000000e+01	
3	 2.8000000e+02	 3.0000000e+01	
4	 3.7000000e+02	 3.0000000e+01	
5	 4.6000000e+02	 3.0000000e+01	
6	 5.5000000e+02	 3.0000000e+01	
7	 6.4000000e+02	 3.0000000e+01	
8	 7.3000000e+02	 3.0000000e+01	
9	 8.2000000e+02	 3.0000000e+01	
10	 9.1000000e+02	 3.0000000e+01	
11	 1.0000000e+03	 3.0000000e+01	
12	 1.0000000e+02	 4.2000000e+01	
13	 1.9000000e+02	 4.2000000e+01	
14	 2.8000000e+02	 4.2000000e+01	
15	 3.7000000e+02	 4.2000000e+01	
16	 4.6000000e+02	 4.2000000e+01	
17	 5.5000000e+02	 4.2000000e+01	
18	 6.4000000e+02	 4.2000000e+01	
19	 7.3000000e+02	 4.2000000e+01	
20	 8.2000000e+02	 4.2000000e+01	
21	 9.1000000e+02	 4.2000000e+01	
22	 1.0000000e+03	 4.2000000e+01	
23	 1.0000000e+02	 5.4000000e+01	
24	 1.9000000e+02	 5.4000000e+01	
25	 2.8000000e+02	 5.4000000e+01	
26	 3.7000000e+02	 5.4000000e+01	
27	 4.6000000e+02	 5.4000000e+01	
28	 5.5000000e+02	 5.4000000e+01	
29	 6.4000000e+02	 5.4000000e+01	
30	 7.3000000e+02	 5.4000000e+01	
31	 8.2000000e+02	 5.4000000e+01	
32	 9.1000000e+02	 5.4000000e+01	
33	 1.0000000e+03	 5.4000000e+01	
34	 1.0000000e+02	 6.6000000e+01	
35	 1.9000000e+02	 6.6000000e+01	
36	 2.8000000e+02	 6.6000000e+01	
37	 3.7000000e+02	 6.6000000e+01	
38	 4.6000000e+02	 6.6000000e+01	
39	 5.5000000e+02	 6.6000000e+01	
40	 6.4000000e+02	 6.6000000e+01	
41	 7.3000000e+02	 6.6000000e+01	
42	 8.2000000e+02	 6.6000000e+01	
43	 9.1000000e+02	 6.6000000e+01	
44	 1.0000000e+03	 6.6000000e+01	
45	 1.0000000e+02	 7.8000000e+01	
46	 1.9000000e+02	 7.8000000e+01	
47	 2.8000000e+02	 7.8000000e+01	
48	 3.7000000e+02	 7.8000000e+01	
49	 4.6000000e+02	 7.8000000e+01	
50	 5.5000000e+02	 7.8000000e+01	
51	 6.4000000e+02	 7.8000000e+01	
52	 7.3000000e+02	 7.8000000e+01	
53	 8.2000000e+02	 7.8000000e+01	
54	 9.1000000e+02	 7.8000000e+01	
55	 1.0000000e+03	 7.8000000e+01	
56	 1.0000000e+02	 9.0000000e+01	
57	 1.9000000e+02	 9.0000000e+01	
58	 2.8000000e+02	 9.0000000e+01	
59	 3.7000000e+02	 9.0000000e+01	
60	 4.6000000e+02	 9.0000000e+01	
61	 5.5000000e+02	 9.0000000e+01	
62	 6.4000000e+02	 9.0000000e+01	
63	 7.3000000e+02	 9.0000000e+01	
64	 8.2000000e+02	 9.0000000e+01	
65	 9.1000000e+02	 9.0000000e+01	
66	 1.0000000e+03	 9.0000000e+01	
67	 1.0000000e+02	 1.0200000e+02	
68	 1.9000000e+02	 1.0200000e+02	
69	 2.8000000e+02	 1.0200000e+02	
70	 3.7000000e+02	 1.0200000e+02	
71	 4.6000000e+02	 1.0200000e+02	
72	 5.5000000e+02	 1.0200000e+02	
73	 6.4000000e+02	 1.0200000e+02	
74	 7.3000000e+02	 1.0200000e+02	
75	 8.2000000e+02	 1.0200000e+02	
76	 9.1000000e+02	 1.0200000e+02	
77	 1.0000000e+03	 1.0200000e+02	
78	 1.0000000e+02	 1.1400000e+02	
79	 1.9000000e+02	 1.1400000e+02	
80	 2.8000000e+02	 1.1400000e+02	
81	 3.7000000e+02	 1.1400000e+02	
82	 4.6000000e+02	 1.1400000e+02	
83	 5.5000000e+02	 1.1400000e+02	
84	 6.4000000e+02	 1.1400000e+02	
85	 7.3000000e+02	 1.1400000e+02	
86	 8.2000000e+02	 1.1400000e+02	
87	 9.1000000e+02	 1.1400000e+02	
88	 1.0000000e+03	 1.1400000e+02	
89	 1.0000000e+02	 1.2600000e+02	
90	 1.9000000e+02	 1.2600000e+02	
91	 2.8000000e+02	 1.2600000e+02	
92	 3.7000000e+02	 1.2600000e+02	
93	 4.6000000e+02	 1.2600000e+02	
94	 5.5000000e+02	 1.2600000e+02	
95	 6.4000000e+02	 1.2600000e+02	
96	 7.3000000e+02	 1.2600000e+02	
97	 8.2000000e+02	 1.2600000e+02	
98	 9.1000000e+02	 1.2600000e+02	
99	 1.0000000e+03	 1.2600000e+02	
100	 1.0000000e+02	 1.3800000e+02	
101	 1.9000000e+02	 1.3800000e+02	
102	 2.8000000e+02	 1.3800000e+02	
103	 3.7000000e+02	 1.3800000e+02	
104	 4.6000000e+02	 1.3800000e+02	
105	 5.5000000e+02	 1.3800000e+02	
106	 6.4000000e+02	 1.3800000e+02	
107	 7.3000000e+02	 1.3800000e+02	
108	 8.2000000e+02	 1.3800000e+02	
109	 9.1000000e+02	 1.3800000e+02	
110	 1.0000000e+03	 1.3800000e+02	
111	 1.0000000e+02	 1.5000000e+02	
112	 1.9000000e+02	 1.5000000e+02	
113	 2.8000000e+02	 1.5000000e+02	
114	 3.7000000e+02	 1.5000000e+02	
115	 4.6000000e+02	 1.5000000e+02	
116	 5.5000000e+02	 1.5000000e+02	
117	 6.4000000e+02	 1.5000000e+02	
118	 7.3000000e+02	 1.5000000e+02	
119	 8.2000000e+02	 1.5000000e+02	
120	 9.1000000e+02	 1.5000000e+02	
121	 1.0000000e+03	 1.5000000e+02	
