#the number of samples
100
#lower bound
 1.0000000e+02	 3.0000000e+01	
#upper bound
 1.0000000e+03	 1.5000000e+02	
1	 1.0000000e+02	 1.5000000e+02	
2	 1.0000000e+03	 3.0000000e+01	
3	 1.0000000e+03	 1.5000000e+02	
4	 1.0000000e+02	 3.0000000e+01	
5	 5.5000000e+02	 9.0000000e+01	
6	 3.2500000e+02	 1.2000000e+02	
7	 7.7500000e+02	 6.0000000e+01	
8	 2.1250000e+02	 1.0500000e+02	
9	 6.6250000e+02	 4.5000000e+01	
10	 4.3750000e+02	 7.5000000e+01	
11	 8.8750000e+02	 1.3500000e+02	
12	 1.5625000e+02	 1.4250000e+02	
13	 6.0625000e+02	 8.2500000e+01	
14	 3.8125000e+02	 5.2500000e+01	
15	 8.3125000e+02	 1.1250000e+02	
16	 2.6875000e+02	 6.7500000e+01	
17	 7.1875000e+02	 1.2750000e+02	
18	 4.9375000e+02	 9.7500000e+01	
19	 9.4375000e+02	 3.7500000e+01	
20	 1.2812500e+02	 9.3750000e+01	
21	 5.7812500e+02	 3.3750000e+01	
22	 3.5312500e+02	 6.3750000e+01	
23	 8.0312500e+02	 1.2375000e+02	
24	 2.4062500e+02	 4.8750000e+01	
25	 6.9062500e+02	 1.0875000e+02	
26	 4.6562500e+02	 1.3875000e+02	
27	 9.1562500e+02	 7.8750000e+01	
28	 1.8437500e+02	 8.6250000e+01	
29	 6.3437500e+02	 1.4625000e+02	
30	 4.0937500e+02	 1.1625000e+02	
31	 8.5937500e+02	 5.6250000e+01	
32	 2.9687500e+02	 1.3125000e+02	
33	 7.4687500e+02	 7.1250000e+01	
34	 5.2187500e+02	 4.1250000e+01	
35	 9.7187500e+02	 1.0125000e+02	
36	 1.1406250e+02	 1.2562500e+02	
37	 5.6406250e+02	 6.5625000e+01	
38	 3.3906250e+02	 3.5625000e+01	
39	 7.8906250e+02	 9.5625000e+01	
40	 2.2656250e+02	 8.0625000e+01	
41	 6.7656250e+02	 1.4062500e+02	
42	 4.5156250e+02	 1.1062500e+02	
43	 9.0156250e+02	 5.0625000e+01	
44	 1.7031250e+02	 5.8125000e+01	
45	 6.2031250e+02	 1.1812500e+02	
46	 3.9531250e+02	 1.4812500e+02	
47	 8.4531250e+02	 8.8125000e+01	
48	 2.8281250e+02	 1.0312500e+02	
49	 7.3281250e+02	 4.3125000e+01	
50	 5.0781250e+02	 7.3125000e+01	
51	 9.5781250e+02	 1.3312500e+02	
52	 1.4218750e+02	 6.1875000e+01	
53	 5.9218750e+02	 1.2187500e+02	
54	 3.6718750e+02	 9.1875000e+01	
55	 8.1718750e+02	 3.1875000e+01	
56	 2.5468750e+02	 1.3687500e+02	
57	 7.0468750e+02	 7.6875000e+01	
58	 4.7968750e+02	 4.6875000e+01	
59	 9.2968750e+02	 1.0687500e+02	
60	 1.9843750e+02	 1.1437500e+02	
61	 6.4843750e+02	 5.4375000e+01	
62	 4.2343750e+02	 8.4375000e+01	
63	 8.7343750e+02	 1.4437500e+02	
64	 3.1093750e+02	 3.9375000e+01	
65	 7.6093750e+02	 9.9375000e+01	
66	 5.3593750e+02	 1.2937500e+02	
67	 9.8593750e+02	 6.9375000e+01	
68	 1.0703125e+02	 1.0968750e+02	
69	 5.5703125e+02	 4.9687500e+01	
70	 3.3203125e+02	 7.9687500e+01	
71	 7.8203125e+02	 1.3968750e+02	
72	 2.1953125e+02	 3.4687500e+01	
73	 6.6953125e+02	 9.4687500e+01	
74	 4.4453125e+02	 1.2468750e+02	
75	 8.9453125e+02	 6.4687500e+01	
76	 1.6328125e+02	 7.2187500e+01	
77	 6.1328125e+02	 1.3218750e+02	
78	 3.8828125e+02	 1.0218750e+02	
79	 8.3828125e+02	 4.2187500e+01	
80	 2.7578125e+02	 1.4718750e+02	
81	 7.2578125e+02	 8.7187500e+01	
82	 5.0078125e+02	 5.7187500e+01	
83	 9.5078125e+02	 1.1718750e+02	
84	 1.3515625e+02	 4.5937500e+01	
85	 5.8515625e+02	 1.0593750e+02	
86	 3.6015625e+02	 1.3593750e+02	
87	 8.1015625e+02	 7.5937500e+01	
88	 2.4765625e+02	 9.0937500e+01	
89	 6.9765625e+02	 3.0937500e+01	
90	 4.7265625e+02	 6.0937500e+01	
91	 9.2265625e+02	 1.2093750e+02	
92	 1.9140625e+02	 1.2843750e+02	
93	 6.4140625e+02	 6.8437500e+01	
94	 4.1640625e+02	 3.8437500e+01	
95	 8.6640625e+02	 9.8437500e+01	
96	 3.0390625e+02	 8.3437500e+01	
97	 7.5390625e+02	 1.4343750e+02	
98	 5.2890625e+02	 1.1343750e+02	
99	 9.7890625e+02	 5.3437500e+01	
100	 1.2109375e+02	 7.7812500e+01	
