#the number of samples
100
#lower bound
 1.0000000e+02	 6.0000000e+01	
#upper bound
 5.0000000e+02	 1.2000000e+02	
1	 1.0000000e+02	 1.2000000e+02	
2	 5.0000000e+02	 6.0000000e+01	
3	 5.0000000e+02	 1.2000000e+02	
4	 1.0000000e+02	 6.0000000e+01	
5	 3.0000000e+02	 9.0000000e+01	
6	 2.0000000e+02	 1.0500000e+02	
7	 4.0000000e+02	 7.5000000e+01	
8	 1.5000000e+02	 9.7500000e+01	
9	 3.5000000e+02	 6.7500000e+01	
10	 2.5000000e+02	 8.2500000e+01	
11	 4.5000000e+02	 1.1250000e+02	
12	 1.2500000e+02	 1.1625000e+02	
13	 3.2500000e+02	 8.6250000e+01	
14	 2.2500000e+02	 7.1250000e+01	
15	 4.2500000e+02	 1.0125000e+02	
16	 1.7500000e+02	 7.8750000e+01	
17	 3.7500000e+02	 1.0875000e+02	
18	 2.7500000e+02	 9.3750000e+01	
19	 4.7500000e+02	 6.3750000e+01	
20	 1.1250000e+02	 9.1875000e+01	
21	 3.1250000e+02	 6.1875000e+01	
22	 2.1250000e+02	 7.6875000e+01	
23	 4.1250000e+02	 1.0687500e+02	
24	 1.6250000e+02	 6.9375000e+01	
25	 3.6250000e+02	 9.9375000e+01	
26	 2.6250000e+02	 1.1437500e+02	
27	 4.6250000e+02	 8.4375000e+01	
28	 1.3750000e+02	 8.8125000e+01	
29	 3.3750000e+02	 1.1812500e+02	
30	 2.3750000e+02	 1.0312500e+02	
31	 4.3750000e+02	 7.3125000e+01	
32	 1.8750000e+02	 1.1062500e+02	
33	 3.8750000e+02	 8.0625000e+01	
34	 2.8750000e+02	 6.5625000e+01	
35	 4.8750000e+02	 9.5625000e+01	
36	 1.0625000e+02	 1.0781250e+02	
37	 3.0625000e+02	 7.7812500e+01	
38	 2.0625000e+02	 6.2812500e+01	
39	 4.0625000e+02	 9.2812500e+01	
40	 1.5625000e+02	 8.5312500e+01	
41	 3.5625000e+02	 1.1531250e+02	
42	 2.5625000e+02	 1.0031250e+02	
43	 4.5625000e+02	 7.0312500e+01	
44	 1.3125000e+02	 7.4062500e+01	
45	 3.3125000e+02	 1.0406250e+02	
46	 2.3125000e+02	 1.1906250e+02	
47	 4.3125000e+02	 8.9062500e+01	
48	 1.8125000e+02	 9.6562500e+01	
49	 3.8125000e+02	 6.6562500e+01	
50	 2.8125000e+02	 8.1562500e+01	
51	 4.8125000e+02	 1.1156250e+02	
52	 1.1875000e+02	 7.5937500e+01	
53	 3.1875000e+02	 1.0593750e+02	
54	 2.1875000e+02	 9.0937500e+01	
55	 4.1875000e+02	 6.0937500e+01	
56	 1.6875000e+02	 1.1343750e+02	
57	 3.6875000e+02	 8.3437500e+01	
58	 2.6875000e+02	 6.8437500e+01	
59	 4.6875000e+02	 9.8437500e+01	
60	 1.4375000e+02	 1.0218750e+02	
61	 3.4375000e+02	 7.2187500e+01	
62	 2.4375000e+02	 8.7187500e+01	
63	 4.4375000e+02	 1.1718750e+02	
64	 1.9375000e+02	 6.4687500e+01	
65	 3.9375000e+02	 9.4687500e+01	
66	 2.9375000e+02	 1.0968750e+02	
67	 4.9375000e+02	 7.9687500e+01	
68	 1.0312500e+02	 9.9843750e+01	
69	 3.0312500e+02	 6.9843750e+01	
70	 2.0312500e+02	 8.4843750e+01	
71	 4.0312500e+02	 1.1484375e+02	
72	 1.5312500e+02	 6.2343750e+01	
73	 3.5312500e+02	 9.2343750e+01	
74	 2.5312500e+02	 1.0734375e+02	
75	 4.5312500e+02	 7.7343750e+01	
76	 1.2812500e+02	 8.1093750e+01	
77	 3.2812500e+02	 1.1109375e+02	
78	 2.2812500e+02	 9.6093750e+01	
79	 4.2812500e+02	 6.6093750e+01	
80	 1.7812500e+02	 1.1859375e+02	
81	 3.7812500e+02	 8.8593750e+01	
82	 2.7812500e+02	 7.3593750e+01	
83	 4.7812500e+02	 1.0359375e+02	
84	 1.1562500e+02	 6.7968750e+01	
85	 3.1562500e+02	 9.7968750e+01	
86	 2.1562500e+02	 1.1296875e+02	
87	 4.1562500e+02	 8.2968750e+01	
88	 1.6562500e+02	 9.0468750e+01	
89	 3.6562500e+02	 6.0468750e+01	
90	 2.6562500e+02	 7.5468750e+01	
91	 4.6562500e+02	 1.0546875e+02	
92	 1.4062500e+02	 1.0921875e+02	
93	 3.4062500e+02	 7.9218750e+01	
94	 2.4062500e+02	 6.4218750e+01	
95	 4.4062500e+02	 9.4218750e+01	
96	 1.9062500e+02	 8.6718750e+01	
97	 3.9062500e+02	 1.1671875e+02	
98	 2.9062500e+02	 1.0171875e+02	
99	 4.9062500e+02	 7.1718750e+01	
100	 1.0937500e+02	 8.3906250e+01	
