#the number of samples
200
#lower bound
 1.0000000e+05	 6.0000000e-01	 0.0000000e+00	
#upper bound
 1.0000000e+06	 8.0000000e-01	 1.8000000e+02	
1	 1.0000000e+05	 6.0000000e-01	 1.8000000e+02	
2	 1.0000000e+05	 8.0000000e-01	 0.0000000e+00	
3	 1.0000000e+05	 8.0000000e-01	 1.8000000e+02	
4	 1.0000000e+06	 6.0000000e-01	 0.0000000e+00	
5	 1.0000000e+06	 6.0000000e-01	 1.8000000e+02	
6	 1.0000000e+06	 8.0000000e-01	 0.0000000e+00	
7	 1.0000000e+06	 8.0000000e-01	 1.8000000e+02	
8	 1.0000000e+05	 6.0000000e-01	 0.0000000e+00	
9	 5.5000000e+05	 7.0000000e-01	 9.0000000e+01	
10	 3.2500000e+05	 7.5000000e-01	 4.5000000e+01	
11	 7.7500000e+05	 6.5000000e-01	 1.3500000e+02	
12	 2.1250000e+05	 7.2500000e-01	 1.5750000e+02	
13	 6.6250000e+05	 6.2500000e-01	 6.7500000e+01	
14	 4.3750000e+05	 6.7500000e-01	 1.1250000e+02	
15	 8.8750000e+05	 7.7500000e-01	 2.2500000e+01	
16	 1.5625000e+05	 7.8750000e-01	 1.2375000e+02	
17	 6.0625000e+05	 6.8750000e-01	 3.3750000e+01	
18	 3.8125000e+05	 6.3750000e-01	 1.6875000e+02	
19	 8.3125000e+05	 7.3750000e-01	 7.8750000e+01	
20	 2.6875000e+05	 6.6250000e-01	 5.6250000e+01	
21	 7.1875000e+05	 7.6250000e-01	 1.4625000e+02	
22	 4.9375000e+05	 7.1250000e-01	 1.1250000e+01	
23	 9.4375000e+05	 6.1250000e-01	 1.0125000e+02	
24	 1.2812500e+05	 7.0625000e-01	 7.3125000e+01	
25	 5.7812500e+05	 6.0625000e-01	 1.6312500e+02	
26	 3.5312500e+05	 6.5625000e-01	 2.8125000e+01	
27	 8.0312500e+05	 7.5625000e-01	 1.1812500e+02	
28	 2.4062500e+05	 6.3125000e-01	 9.5625000e+01	
29	 6.9062500e+05	 7.3125000e-01	 5.6250000e+00	
30	 4.6562500e+05	 7.8125000e-01	 1.4062500e+02	
31	 9.1562500e+05	 6.8125000e-01	 5.0625000e+01	
32	 1.8437500e+05	 6.9375000e-01	 1.5187500e+02	
33	 6.3437500e+05	 7.9375000e-01	 6.1875000e+01	
34	 4.0937500e+05	 7.4375000e-01	 1.0687500e+02	
35	 8.5937500e+05	 6.4375000e-01	 1.6875000e+01	
