#the number of samples
216
#lower bound
 1.0000000e+05	 6.5000000e-01	 6.0000000e+01	
#upper bound
 5.0000000e+05	 7.5000000e-01	 1.2000000e+02	
1	 1.0000000e+05	 6.5000000e-01	 6.0000000e+01	
2	 1.0000000e+05	 6.5000000e-01	 7.2000000e+01	
3	 1.0000000e+05	 6.5000000e-01	 8.4000000e+01	
4	 1.0000000e+05	 6.5000000e-01	 9.6000000e+01	
5	 1.0000000e+05	 6.5000000e-01	 1.0800000e+02	
6	 1.0000000e+05	 6.5000000e-01	 1.2000000e+02	
7	 1.8000000e+05	 6.5000000e-01	 6.0000000e+01	
8	 1.8000000e+05	 6.5000000e-01	 7.2000000e+01	
9	 1.8000000e+05	 6.5000000e-01	 8.4000000e+01	
10	 1.8000000e+05	 6.5000000e-01	 9.6000000e+01	
11	 1.8000000e+05	 6.5000000e-01	 1.0800000e+02	
12	 1.8000000e+05	 6.5000000e-01	 1.2000000e+02	
13	 2.6000000e+05	 6.5000000e-01	 6.0000000e+01	
14	 2.6000000e+05	 6.5000000e-01	 7.2000000e+01	
15	 2.6000000e+05	 6.5000000e-01	 8.4000000e+01	
16	 2.6000000e+05	 6.5000000e-01	 9.6000000e+01	
17	 2.6000000e+05	 6.5000000e-01	 1.0800000e+02	
18	 2.6000000e+05	 6.5000000e-01	 1.2000000e+02	
19	 3.4000000e+05	 6.5000000e-01	 6.0000000e+01	
20	 3.4000000e+05	 6.5000000e-01	 7.2000000e+01	
21	 3.4000000e+05	 6.5000000e-01	 8.4000000e+01	
22	 3.4000000e+05	 6.5000000e-01	 9.6000000e+01	
23	 3.4000000e+05	 6.5000000e-01	 1.0800000e+02	
24	 3.4000000e+05	 6.5000000e-01	 1.2000000e+02	
25	 4.2000000e+05	 6.5000000e-01	 6.0000000e+01	
26	 4.2000000e+05	 6.5000000e-01	 7.2000000e+01	
27	 4.2000000e+05	 6.5000000e-01	 8.4000000e+01	
28	 4.2000000e+05	 6.5000000e-01	 9.6000000e+01	
29	 4.2000000e+05	 6.5000000e-01	 1.0800000e+02	
30	 4.2000000e+05	 6.5000000e-01	 1.2000000e+02	
31	 5.0000000e+05	 6.5000000e-01	 6.0000000e+01	
32	 5.0000000e+05	 6.5000000e-01	 7.2000000e+01	
33	 5.0000000e+05	 6.5000000e-01	 8.4000000e+01	
34	 5.0000000e+05	 6.5000000e-01	 9.6000000e+01	
35	 5.0000000e+05	 6.5000000e-01	 1.0800000e+02	
36	 5.0000000e+05	 6.5000000e-01	 1.2000000e+02	
37	 1.0000000e+05	 6.7000000e-01	 6.0000000e+01	
38	 1.0000000e+05	 6.7000000e-01	 7.2000000e+01	
39	 1.0000000e+05	 6.7000000e-01	 8.4000000e+01	
40	 1.0000000e+05	 6.7000000e-01	 9.6000000e+01	
41	 1.0000000e+05	 6.7000000e-01	 1.0800000e+02	
42	 1.0000000e+05	 6.7000000e-01	 1.2000000e+02	
43	 1.8000000e+05	 6.7000000e-01	 6.0000000e+01	
44	 1.8000000e+05	 6.7000000e-01	 7.2000000e+01	
45	 1.8000000e+05	 6.7000000e-01	 8.4000000e+01	
46	 1.8000000e+05	 6.7000000e-01	 9.6000000e+01	
47	 1.8000000e+05	 6.7000000e-01	 1.0800000e+02	
48	 1.8000000e+05	 6.7000000e-01	 1.2000000e+02	
49	 2.6000000e+05	 6.7000000e-01	 6.0000000e+01	
50	 2.6000000e+05	 6.7000000e-01	 7.2000000e+01	
51	 2.6000000e+05	 6.7000000e-01	 8.4000000e+01	
52	 2.6000000e+05	 6.7000000e-01	 9.6000000e+01	
53	 2.6000000e+05	 6.7000000e-01	 1.0800000e+02	
54	 2.6000000e+05	 6.7000000e-01	 1.2000000e+02	
55	 3.4000000e+05	 6.7000000e-01	 6.0000000e+01	
56	 3.4000000e+05	 6.7000000e-01	 7.2000000e+01	
57	 3.4000000e+05	 6.7000000e-01	 8.4000000e+01	
58	 3.4000000e+05	 6.7000000e-01	 9.6000000e+01	
59	 3.4000000e+05	 6.7000000e-01	 1.0800000e+02	
60	 3.4000000e+05	 6.7000000e-01	 1.2000000e+02	
61	 4.2000000e+05	 6.7000000e-01	 6.0000000e+01	
62	 4.2000000e+05	 6.7000000e-01	 7.2000000e+01	
63	 4.2000000e+05	 6.7000000e-01	 8.4000000e+01	
64	 4.2000000e+05	 6.7000000e-01	 9.6000000e+01	
65	 4.2000000e+05	 6.7000000e-01	 1.0800000e+02	
66	 4.2000000e+05	 6.7000000e-01	 1.2000000e+02	
67	 5.0000000e+05	 6.7000000e-01	 6.0000000e+01	
68	 5.0000000e+05	 6.7000000e-01	 7.2000000e+01	
69	 5.0000000e+05	 6.7000000e-01	 8.4000000e+01	
70	 5.0000000e+05	 6.7000000e-01	 9.6000000e+01	
71	 5.0000000e+05	 6.7000000e-01	 1.0800000e+02	
72	 5.0000000e+05	 6.7000000e-01	 1.2000000e+02	
73	 1.0000000e+05	 6.9000000e-01	 6.0000000e+01	
74	 1.0000000e+05	 6.9000000e-01	 7.2000000e+01	
75	 1.0000000e+05	 6.9000000e-01	 8.4000000e+01	
76	 1.0000000e+05	 6.9000000e-01	 9.6000000e+01	
77	 1.0000000e+05	 6.9000000e-01	 1.0800000e+02	
78	 1.0000000e+05	 6.9000000e-01	 1.2000000e+02	
79	 1.8000000e+05	 6.9000000e-01	 6.0000000e+01	
80	 1.8000000e+05	 6.9000000e-01	 7.2000000e+01	
81	 1.8000000e+05	 6.9000000e-01	 8.4000000e+01	
82	 1.8000000e+05	 6.9000000e-01	 9.6000000e+01	
83	 1.8000000e+05	 6.9000000e-01	 1.0800000e+02	
84	 1.8000000e+05	 6.9000000e-01	 1.2000000e+02	
85	 2.6000000e+05	 6.9000000e-01	 6.0000000e+01	
86	 2.6000000e+05	 6.9000000e-01	 7.2000000e+01	
87	 2.6000000e+05	 6.9000000e-01	 8.4000000e+01	
88	 2.6000000e+05	 6.9000000e-01	 9.6000000e+01	
89	 2.6000000e+05	 6.9000000e-01	 1.0800000e+02	
90	 2.6000000e+05	 6.9000000e-01	 1.2000000e+02	
91	 3.4000000e+05	 6.9000000e-01	 6.0000000e+01	
92	 3.4000000e+05	 6.9000000e-01	 7.2000000e+01	
93	 3.4000000e+05	 6.9000000e-01	 8.4000000e+01	
94	 3.4000000e+05	 6.9000000e-01	 9.6000000e+01	
95	 3.4000000e+05	 6.9000000e-01	 1.0800000e+02	
96	 3.4000000e+05	 6.9000000e-01	 1.2000000e+02	
97	 4.2000000e+05	 6.9000000e-01	 6.0000000e+01	
98	 4.2000000e+05	 6.9000000e-01	 7.2000000e+01	
99	 4.2000000e+05	 6.9000000e-01	 8.4000000e+01	
100	 4.2000000e+05	 6.9000000e-01	 9.6000000e+01	
101	 4.2000000e+05	 6.9000000e-01	 1.0800000e+02	
102	 4.2000000e+05	 6.9000000e-01	 1.2000000e+02	
103	 5.0000000e+05	 6.9000000e-01	 6.0000000e+01	
104	 5.0000000e+05	 6.9000000e-01	 7.2000000e+01	
105	 5.0000000e+05	 6.9000000e-01	 8.4000000e+01	
106	 5.0000000e+05	 6.9000000e-01	 9.6000000e+01	
107	 5.0000000e+05	 6.9000000e-01	 1.0800000e+02	
108	 5.0000000e+05	 6.9000000e-01	 1.2000000e+02	
109	 1.0000000e+05	 7.1000000e-01	 6.0000000e+01	
110	 1.0000000e+05	 7.1000000e-01	 7.2000000e+01	
111	 1.0000000e+05	 7.1000000e-01	 8.4000000e+01	
112	 1.0000000e+05	 7.1000000e-01	 9.6000000e+01	
113	 1.0000000e+05	 7.1000000e-01	 1.0800000e+02	
114	 1.0000000e+05	 7.1000000e-01	 1.2000000e+02	
115	 1.8000000e+05	 7.1000000e-01	 6.0000000e+01	
116	 1.8000000e+05	 7.1000000e-01	 7.2000000e+01	
117	 1.8000000e+05	 7.1000000e-01	 8.4000000e+01	
118	 1.8000000e+05	 7.1000000e-01	 9.6000000e+01	
119	 1.8000000e+05	 7.1000000e-01	 1.0800000e+02	
120	 1.8000000e+05	 7.1000000e-01	 1.2000000e+02	
121	 2.6000000e+05	 7.1000000e-01	 6.0000000e+01	
122	 2.6000000e+05	 7.1000000e-01	 7.2000000e+01	
