#the number of samples
216
#lower bound
 5.0000000e+05	 7.0000000e-01	 6.0000000e+01	
#upper bound
 5.0000100e+05	 7.1000000e-01	 9.0000000e+01	
1	 5.0000000e+05	 7.0000000e-01	 6.0000000e+01	
2	 5.0000000e+05	 7.0000000e-01	 6.6000000e+01	
3	 5.0000000e+05	 7.0000000e-01	 7.2000000e+01	
4	 5.0000000e+05	 7.0000000e-01	 7.8000000e+01	
5	 5.0000000e+05	 7.0000000e-01	 8.4000000e+01	
6	 5.0000000e+05	 7.0000000e-01	 9.0000000e+01	
7	 5.0000020e+05	 7.0000000e-01	 6.0000000e+01	
8	 5.0000020e+05	 7.0000000e-01	 6.6000000e+01	
9	 5.0000020e+05	 7.0000000e-01	 7.2000000e+01	
10	 5.0000020e+05	 7.0000000e-01	 7.8000000e+01	
11	 5.0000020e+05	 7.0000000e-01	 8.4000000e+01	
12	 5.0000020e+05	 7.0000000e-01	 9.0000000e+01	
13	 5.0000040e+05	 7.0000000e-01	 6.0000000e+01	
14	 5.0000040e+05	 7.0000000e-01	 6.6000000e+01	
15	 5.0000040e+05	 7.0000000e-01	 7.2000000e+01	
16	 5.0000040e+05	 7.0000000e-01	 7.8000000e+01	
17	 5.0000040e+05	 7.0000000e-01	 8.4000000e+01	
18	 5.0000040e+05	 7.0000000e-01	 9.0000000e+01	
19	 5.0000060e+05	 7.0000000e-01	 6.0000000e+01	
20	 5.0000060e+05	 7.0000000e-01	 6.6000000e+01	
21	 5.0000060e+05	 7.0000000e-01	 7.2000000e+01	
22	 5.0000060e+05	 7.0000000e-01	 7.8000000e+01	
23	 5.0000060e+05	 7.0000000e-01	 8.4000000e+01	
24	 5.0000060e+05	 7.0000000e-01	 9.0000000e+01	
25	 5.0000080e+05	 7.0000000e-01	 6.0000000e+01	
26	 5.0000080e+05	 7.0000000e-01	 6.6000000e+01	
27	 5.0000080e+05	 7.0000000e-01	 7.2000000e+01	
28	 5.0000080e+05	 7.0000000e-01	 7.8000000e+01	
29	 5.0000080e+05	 7.0000000e-01	 8.4000000e+01	
30	 5.0000080e+05	 7.0000000e-01	 9.0000000e+01	
31	 5.0000100e+05	 7.0000000e-01	 6.0000000e+01	
32	 5.0000100e+05	 7.0000000e-01	 6.6000000e+01	
33	 5.0000100e+05	 7.0000000e-01	 7.2000000e+01	
34	 5.0000100e+05	 7.0000000e-01	 7.8000000e+01	
35	 5.0000100e+05	 7.0000000e-01	 8.4000000e+01	
